userid	genesymbol	genename	entrezgene
CXCL9	CXCL9	C-X-C motif chemokine ligand 9	4283
PLEKHG7	PLEKHG7	pleckstrin homology and RhoGEF domain containing G7	440107
ZYG11A	ZYG11A	zyg-11 family member A, cell cycle regulator	440590
FAM26F	FAM26F	family with sequence similarity 26 member F	441168
MT1H	MT1H	metallothionein 1H	4496
MYB	MYB	MYB proto-oncogene, transcription factor	4602
NKG7	NKG7	natural killer cell granule protein 7	4818
TIFAB	TIFAB	TIFA inhibitor	497189
PLA2G3	PLA2G3	phospholipase A2 group III	50487
TRAT1	TRAT1	T-cell receptor associated transmembrane adaptor 1	50852
ETV7	ETV7	ETS variant 7	51513
PIGR	PIGR	polymeric immunoglobulin receptor	5284
UBASH3A	UBASH3A	ubiquitin associated and SH3 domain containing A	53347
NUP62CL	NUP62CL	nucleoporin 62 C-terminal like	54830
BSPRY	BSPRY	B-box and SPRY domain containing	54836
HRASLS2	HRASLS2	HRAS like suppressor 2	54979
VNN3	VNN3	vanin 3	55350
SIRPG	SIRPG	signal regulatory protein gamma	55423
CRTAM	CRTAM	cytotoxic and regulatory T-cell molecule	56253
PTH2R	PTH2R	parathyroid hormone 2 receptor	5746
KIAA1324	KIAA1324	KIAA1324	57535
RLN2	RLN2	relaxin 2	6019
CCL5	CCL5	C-C motif chemokine ligand 5	6352
CCL8	CCL8	C-C motif chemokine ligand 8	6355
CXCL11	CXCL11	C-X-C motif chemokine ligand 11	6373
XCL1	XCL1	X-C motif chemokine ligand 1	6375
BST2	BST2	bone marrow stromal cell antigen 2	684
BTC	BTC	betacellulin	685
UGT8	UGT8	UDP glycosyltransferase 8	7368
BCL2L14	BCL2L14	BCL2 like 14	79370
ZBBX	ZBBX	zinc finger B-box domain containing	79740
ASRGL1	ASRGL1	asparaginase like 1	80150
EFHC2	EFHC2	EF-hand domain containing 2	80258
ZBP1	ZBP1	Z-DNA binding protein 1	81030
ACTL8	ACTL8	actin like 8	81569
MND1	MND1	meiotic nuclear divisions 1	84057
SLA2	SLA2	Src like adaptor 2	84174
DYDC2	DYDC2	DPY30 domain containing 2	84332
C9orf24	C9orf24	chromosome 9 open reading frame 24	84688
HSH2D	HSH2D	hematopoietic SH2 domain containing	84941
DDO	DDO	D-aspartate oxidase	8528
SKAP1	SKAP1	src kinase associated phosphoprotein 1	8631
OASL	OASL	2'-5'-oligoadenylate synthetase like	8638
HRK	HRK	harakiri, BCL2 interacting protein	8739
WISP3	WISP3	WNT1 inducible signaling pathway protein 3	8838
FAM181A	FAM181A	family with sequence similarity 181 member A	90050
L3MBTL4	L3MBTL4	l(3)mbt-like 4 (Drosophila)	91133
CD2	CD2	CD2 molecule	914
CD3G	CD3G	CD3g molecule	917
DAPL1	DAPL1	death associated protein like 1	92196
AIM2	AIM2	absent in melanoma 2	9447
SPAG6	SPAG6	sperm associated antigen 6	9576
MAGEC1	MAGEC1	MAGE family member C1	9947
