Id,Company,Primary Industry,Country,Url,Current Rank,Prior Rank,Executive1,Executive2,Earnings Per Share Growth,Cost Of Goods Sold,Current Liabilities,Total Assets,Long Term Debt,Return On Equity,Revenue,Total Company Assets,Revenue Growth,Net Income,Earnings Per Share,Total Equity,Profit Margin,Debt To Equity Ratio,Inventory Turnover
14,General Motors Co.,Motor Vehicles,United States,www.gm.com,13,16,"Ms. Mary T. Barra, Chairman;Chief Executive Officer","Mr. Daniel Ammann, President",258.18%,,"$71,466 ","$78,007 ",43549,27.3204,"$152,356 ","$194,520 ",-2.29%,"$9,687 ",$258.18 ,"$39,871 ",6.36%,1.09%,13764
15,Volkswagen AG,Motor Vehicles,Germany,www.volkswagen.com,8,7,"Mr. Matthias Muller, Chairman;Management Board Member","Dr. Herbert Diess, Ph.D., Management Board Member;Division Officer",-114.65%,,"$161,736 ","$158,357 ",79830.5,-1.75795,"$232,319 ","$416,008 ",5.35%,"($1,723)",($114.65),"$95,915 ",-0.74%,0.83%,38174.7
16,Chevron Corp.,Petroleum & Coal Products,United States,www.chevron.com,16,11,"Mr. John S. Watson, Chairman","Mr. Michael K. Wirth, Executive Vice President",-75.84%,,"$26,464 ","$35,347 ",33664,2.95882,"$138,477 ","$266,103 ",-34.67%,"$4,587 ",($75.84),"$152,716 ",3.31%,0.22%,6334
17,Hon Hai Precision Industry Co. Ltd.,Computers & Other Electronic Products,Taiwan Province of China,www.foxconn.com,17,23,"Terry Gou, Chairman","Tetsai Huang, Chief Financial Officer",11.72%,,"$32,140 ","$54,419 ",5327.24,15.7882,"$136,401 ","$70,246 ",6.38%,"$4,469 ",$11.72 ,"$30,664 ",3.28%,0.17%,12922.2
18,Honda Motor Co. Ltd.,Motor Vehicles,Japan,www.honda.co.jp,19,30,"Takahiro Hachigo, President;Chief Executive Officer","Seiji Kuraishi, Executive Vice President;Chief Risk Officer",-32.37%,,"$45,442 ","$51,849 ",,4.84666,"$121,292 ","$151,432 ",9.55%,"$2,862 ",($32.37),"$56,167 ",2.36%,NA,10909.6
19,E.ON SE,Miscellaneous,Germany,www.eon.com,18,17,"Dr. Johannes Teyssen, Chairman;Chief Executive Officer","Klaus Schafer, Board Member",NM,NA,"$36,427 ","$43,656 ",16288.1,-28.4686,"$127,118 ","$123,836 ",4.35%,"($7,623)",NM,"$17,894 ",-6.00%,0.91%,2773.13
20,Fiat Chrysler Automobiles NV,Motor Vehicles,United Kingdom,www.fcagroup.com,20,26,"Mr. John Elkann, Chairman","Mr. Sergio Marchionne, Chief Executive Officer;Subsidiary Officer",-51.96%,,"$39,485 ","$51,289 ",30264.8,2.4879,"$120,461 ","$114,411 ",15.10%,$363 ,($51.96),"$17,527 ",0.30%,1.73%,12363.6
21,General Electric Co.,Electrical Equipment & Appliances,United States,www.ge.com,21,18,"Mr. Jeffrey R. Immelt, Chairman;President","Mr. Keith S. Sherin, Vice-Chairman",-140.67%,,"$108,197 ","$151,993 ",145301,-4.78,"$117,386 ","$492,692 ",-21.00%,"($6,126)",($140.67),"$98,274 ",-5.22%,1.48%,22515
22,Mahindra & Mahindra Ltd.,Motor Vehicles,India,www.mahindra.com,22,403,"A. K. Nanda, Executive Director;Secretary",,-44.29%,,"$51,005 ","$60,103 ",33759.2,11.218,"$109,582 ","$143,407 ",-18.94%,"$4,743 ",($44.29),"$39,095 ",4.33%,0.86%,12781.8
23,Nissan Motor Co. Ltd.,Motor Vehicles,Japan,www.nissan-global.com,25,33,"Carlos Ghosn, Chairman;President","Hiroto Saikawa, Chief Competitive Officer",14.52%,,"$56,190 ","$89,280 ",31071.2,10.8305,"$101,258 ","$144,324 ",7.16%,"$4,351 ",$14.52 ,"$39,224 ",4.30%,0.79%,10587.9
24,Bayerische Motoren Werke AG,Motor Vehicles,Germany,www.bmwgroup.com,27,31,"Dr. Norbert Reithofer, Chairman",,9.85%,,"$71,442 ","$67,347 ",53941,17.1118,"$100,398 ","$187,534 ",14.64%,"$6,937 ",$9.85 ,"$46,324 ",6.91%,1.16%,12058.7
25,Phillips 66,Petroleum & Coal Products,United States,www.Phillips66.com,26,14,"Mr. Greg C. Garland, Chairman","Mr. Tim G. Taylor, President",-7.20%,,"$7,531 ","$12,256 ",8843,19.5785,"$100,949 ","$48,580 ",-38.48%,"$4,227 ",($7.20),"$23,100 ",4.19%,0.38%,3477
26,HP Inc.,Computers & Other Electronic Products,United States,www.hp.com,23,27,"Ms. Margaret C. Whitman, MBA, Chairwoman;President","Mr. Jon Flaxman, Chief Operating Officer",-5.34%,,"$42,191 ","$51,787 ",21780,17.0364,"$103,355 ","$106,882 ",-7.27%,"$4,554 ",($5.34),"$27,768 ",4.41%,0.78%,6485
27,SAIC Motor Co. Ltd.,Motor Vehicles,China,www.saicmotor.com,24,28,"Chen Zhixin, Executive Vice President","Gu Feng, Chief Financial Officer",NA,,"$39,674 ","$41,562 ",1479.23,18.897,"$103,232 ","$78,778 ",6.42%,"$4,587 ",NA,"$26,965 ",4.44%,0.05%,5734.58
28,Petroleo Brasileiro SA-Petrobras,Petroleum & Coal Products,Brazil,www.petrobras.com.br,28,20,"Maria das Gracas Silva Foster, Chief Executive Officer;Chief International Off","Almir Guilherme Barbassa, Chief Financial Officer;Chief Investor Relations",NM,,"$28,573 ","$43,428 ",111521,-7.26744,"$97,314 ","$230,521 ",-32.26%,"($8,450)",NM,"$65,236 ",-8.68%,1.71%,7441
29,Boeing Co.,Aerospace & Defense,United States,www.boeing.com,29,40,"Mr. Dennis A. Muilenburg, Chairman","Mr. Christopher M. Chadwick, Executive Vice President;Division Officer",0.81%,,"$50,412 ","$68,234 ",8730,59.7346,"$96,114 ","$94,408 ",5.90%,"$5,176 ",$0.81 ,"$6,335 ",5.39%,1.38%,47257
30,Nestl,Food,Switzerland,www.nestle.com,30,34,"Mr. Paul Bulcke, Chief Executive Officer",,-36.06%,,"$33,552 ","$29,638 ",11681.6,12.9274,"$89,701 ","$124,853 ",-3.03%,"$9,128 ",($36.06),"$62,771 ",10.18%,0.19%,8209.63
31,Microsoft Corp.,Computers & Other Electronic Products,United States,www.microsoft.com,32,43,"Mr. John Wendell Thompson, Chairman","Mr. Bradford L. Smith, President;Chief Legal Officer",41.89%,,"$59,357 ","$139,660 ",40783,20.9757,"$85,320 ","$193,694 ",-8.83%,"$16,798 ",$41.89 ,"$71,997 ",19.69%,0.57%,2251
32,Valero Energy Corp.,Petroleum & Coal Products,United States,www.valero.com,31,24,"Mr. Joseph W. Gorder, Chairman;President","Mr. Michael S. Ciskowski, Executive Vice President;Chief Financial Officer",16.64%,,"$7,360 ","$14,972 ",7250,19.2968,"$87,804 ","$44,343 ",-32.89%,"$3,990 ",$16.64 ,"$20,527 ",4.54%,0.35%,5898
33,Hitachi Ltd.,Computers & Other Electronic Products,Japan,www.hitachi.co.jp,33,46,"Toshiaki Higashihara, President;Representative Executive Officer","Ryuichi Kitayama, Executive Vice President",-17.83%,,"$41,487 ","$48,783 ",17291.3,5.85107,"$83,355 ","$104,262 ",2.65%,"$1,430 ",($17.83),"$22,720 ",1.72%,0.76%,10798
34,Siemens AG,Computers & Other Electronic Products,Germany,www.siemens.com,34,41,"Mr. Joe Kaeser, President;Chief Executive Officer","Dr. Ralf P. Thomas, Board Member",38.51%,,"$43,091 ","$56,031 ",29062.3,23.5252,"$82,383 ","$131,084 ",5.17%,"$7,931 ",$38.51 ,"$37,550 ",9.63%,0.77%,18792.2
35,Gazprom OAO,Petroleum & Coal Products,Russian Federation,www.gazprom.com,35,36,"Mr. Alexey Borisovich Miller, Chairman","Alexander Georgievich Ananenkov, Deputy Chairman",394.81%,NA,"$28,772 ","$54,082 ",37860.7,8.01764,"$82,293 ","$230,915 ",9.16%,"$10,658 ",$394.81 ,"$143,402 ",12.95%,0.26%,10892.5
36,Hyundai Motor Co. Ltd.,Motor Vehicles,Korea,www.hyundai-motor.com,37,47,"Mong-Koo Chung, Ph.D., Chairman;Chief Executive Officer","Eui-Sun Chung, MBA, Vice-Chairman",-11.75%,,"$35,029 ","$57,396 ",38043.7,11.1306,"$78,159 ","$140,554 ",3.03%,"$5,454 ",($11.75),"$52,717 ",6.98%,0.72%,7818.65
37,BASF SE,Chemicals,Germany,www.basf.com,39,35,"Dr. Kurt Bock, Chairman","Dr. Martin BruderMueller, Vice-Chairman",-22.68%,,"$15,506 ","$26,757 ",,14.4383,"$76,733 ","$77,155 ",-5.22%,"$4,342 ",($22.68),"$33,674 ",5.66%,NA,10557.7
38,Lukoil Oil Co.,Petroleum & Coal Products,Russian Federation,www.lukoil.com,38,19,"Vagit Alekperov, President","Sergei Kukura, First Vice President",-11.51%,,"$9,413 ","$16,434 ",10822.7,4.85947,"$77,852 ","$67,988 ",-46.00%,"$3,942 ",($11.51),"$43,638 ",5.06%,0.25%,4606.86
39,ENI SpA,Petroleum & Coal Products,Italy,www.eni.com,40,22,"Claudio Descalzi, Chief Executive Officer;General Manager","Luca Bertelli, Division Officer",-777.78%,NA,"$32,202 ","$43,548 ",21123.1,-14.6986,"$75,095 ","$146,817 ",-37.86%,"($9,566)",($777.78),"$56,369 ",-12.74%,0.37%,4258.81
40,IBM Corp.,Computers & Other Electronic Products,United States,www.ibm.com,36,37,"Ms. Virginia M. Rometty, Chairman;President","Ms. Colleen F. Arnold, Senior Vice President",12.77%,,"$34,269 ","$42,504 ",33428,111.139,"$81,741 ","$110,495 ",-11.91%,"$13,190 ",$12.77 ,"$14,262 ",16.14%,2.34%,1551
41,Philip Morris International Inc.,Tobacco,United States,www.pmi.com,41,49,"Mr. Louis C. Camilleri, Chairman","Mr. Charles R. Wall, Vice-Chairman",-7.14%,,"$15,386 ","$15,804 ",25250,NM,"$73,908 ","$33,956 ",-7.74%,"$6,873 ",($7.14),"($13,244)",9.30%,NM,8473
42,JX Holdings Inc.,Petroleum & Coal Products,Japan,www.hd.jx-group.co.jp,42,39,"Yasushi Kimura, Chairman","Yukio Uchida, President",NM,,"$22,885 ","$22,024 ",11096.1,-16.1546,"$72,585 ","$55,861 ",-19.71%,"($2,599)",NM,"$10,862 ",-3.58%,1.02%,8707.07
43,Airbus Group SE,Aerospace & Defense,Netherlands,www.airbus-group.com,44,52,"Tom Enders, Chief Executive Officer",,14.38%,,"$58,574 ","$56,055 ",6900.15,38.1816,"$70,199 ","$116,198 ",6.16%,"$2,936 ",$14.38 ,"$6,498 ",4.18%,1.06%,31642.7
44,Marathon Petroleum Corp.,Petroleum & Coal Products,United States,www.marathonpetroleum.com,43,32,"Mr. Gary R. Heminger, President;Chief Executive Officer","Mr. Randy S. Nickerson, Executive Vice President",19.82%,,"$6,345 ","$9,471 ",11896,26.5278,"$72,258 ","$43,115 ",-26.34%,"$2,852 ",$19.82 ,"$13,237 ",3.95%,0.90%,5225
45,Rosneft Oil Co OJSC,Petroleum & Coal Products,Russian Federation,www.rosneft.com,46,38,"Igor Sechin, Chairman;Chief Executive","Yuri Kalinin, Vice President;Deputy Chairman",2.01%,,"$24,605 ","$32,554 ",30915.9,12.3607,"$69,740 ","$130,516 ",-6.41%,"$4,807 ",$2.01 ,"$39,081 ",6.89%,0.79%,2965.65
46,Johnson & Johnson,Pharmaceuticals,United States,www.jnj.com,45,51,"Mr. Alex Gorsky, Chairman;Chief Executive Officer","Mr. Dominic J. Caruso, Vice President;Chief Financial Officer",-3.86%,,"$27,747 ","$60,210 ",12857,22.0911,"$70,074 ","$133,411 ",-5.73%,"$15,409 ",($3.86),"$71,150 ",21.99%,0.18%,8053
47,Archer-Daniels-Midland Co.,Food,United States,www.adm.com,48,48,"Mr. Juan R. Luciano, Chairman;President","Mr. Ray G. Young, Executive Vice President",-13.12%,,"$13,505 ","$21,829 ",5779,9.44572,"$67,702 ","$40,157 ",-16.62%,"$1,849 ",($13.12),"$17,899 ",2.73%,0.32%,8243
48,Sony Corp.,Computers & Other Electronic Products,Japan,www.sony.co.jp,49,54,"Kazuo Hirai, President;Chief Executive Officer","Kenichiro Yoshida, Executive Vice President;Chief Financial Officer",NM,,"$40,129 ","$34,862 ",4623.75,6.37834,"$67,334 ","$138,507 ",-1.34%,"$1,227 ",NM,"$20,463 ",1.82%,0.23%,5674.93
49,Audi AG,Motor Vehicles,Germany,www.audi.com,51,56,"Prof. Rupert Stadler, Chairman",Thomas Sigi,-3.71%,,"$23,476 ","$33,547 ",1816.8,22.3665,"$63,631 ","$61,826 ",8.61%,"$4,579 ",($3.71),"$23,143 ",7.20%,0.08%,6880.55
50,Indian Oil Corp. Ltd.,Petroleum & Coal Products,India,www.iocl.com,47,53,"Mr. B. M. Bansal, Director","K. K. Jha, Director",-30.67%,,"$15,759 ","$15,284 ",2336.74,7.50098,"$68,602 ","$35,342 ",-7.75%,$742 ,($30.67),"$10,040 ",1.08%,0.23%,7547.67
51,Arcelor Mittal SA,Primary Metals,Luxembourg,www.arcelormittal.com,52,50,"Mr. Lakshmi N. Mittal, Chairman;Chief Executive Officer","Davinder Chugh, Chief Executive Officer",NM,,"$18,041 ","$22,326 ",17478,-18.8804,"$63,578 ","$76,846 ",-19.81%,"($7,946)",NM,"$25,272 ",-12.50%,0.69%,13424
52,Panasonic Corp.,Computers & Other Electronic Products,Japan,www.panasonic.co.jp,54,60,"Shusaku Nagae, Chairman","Masayuki Matsushita, Vice-Chairman",7.41%,,"$19,778 ","$25,372 ",5849.75,10.5993,"$62,749 ","$46,494 ",-2.09%,"$1,605 ",$7.41 ,"$14,164 ",2.56%,0.41%,6283.85
53,Peugeot SA,Motor Vehicles,France,www.psa-peugeot-citroen.com,55,58,"Mr. Carlos Tavares, Chairman;Management Board Member","Mr. Philippe Varin, Management Board Member",NM,,"$25,006 ","$21,156 ",4647.66,9.6969,"$59,553 ","$53,491 ",1.99%,$979 ,NM,"$11,496 ",1.64%,0.40%,4352.49
54,Unilever Group,Food,United Kingdom,www.unilever.com,56,65,"Mr. Paul Polman, Chief Executive Officer","Mr. David Blanchard, Chief Officer",-3.91%,,"$21,804 ","$13,817 ",10733.1,35.9607,"$58,024 ","$56,963 ",9.98%,"$5,346 ",($3.91),"$16,816 ",9.21%,0.64%,4721.73
55,PTT Public Co. Ltd.,Petroleum & Coal Products,Thailand,www.pttplc.com,57,42,"Dr. Pailin Chuchottaworn, Senior Executive Vice President","Tevin Vongvanich, Chief Financial Officer",NA,,"$8,753 ","$18,864 ",16048.1,2.85795,"$56,256 ","$60,338 ",-28.50%,$553 ,NA,"$19,349 ",0.98%,0.83%,3212.02
56,Procter & Gamble Co.,Chemicals,United States,www.pg.com,50,45,"Mr. David S. Taylor, Chairman;President","Mr. Werner Geissler, Vice-Chairman;Advisor",51.23%,,"$30,770 ","$33,782 ",18945,16.8346,"$65,299 ","$127,136 ",-14.39%,"$10,508 ",$51.23 ,"$57,341 ",16.09%,0.33%,4716
57,United Technologies Corp.,Aerospace & Defense,United States,www.utc.com,58,59,"Mr. Gregory J. Hayes, President;Chief Executive Officer","Ms. Elizabeth B. Amato, Senior Vice President",26.25%,,"$22,618 ","$26,706 ",19320,24.3745,"$56,098 ","$87,484 ",-13.83%,"$7,608 ",$26.25 ,"$27,358 ",13.56%,0.71%,8135
58,Intel Corp.,Computers & Other Electronic Products,United States,www.intc.com,59,69,"Mr. Andy D. Bryant, Chairman","Mr. Brian M. Krzanich, Chief Executive Officer",0.87%,,"$15,667 ","$40,356 ",20036,20.1138,"$55,355 ","$103,065 ",-0.92%,"$11,420 ",$0.87 ,"$61,982 ",20.63%,0.32%,5167
59,PepsiCo Inc.,Beverages,United States,www.pepsico.com,53,57,"Mr. Ramon Laguarta, Region Officer","Mr. Hugh F. Johnston, Vice-Chairman",-14.05%,,"$17,578 ","$23,031 ",29213,31.2651,"$63,056 ","$69,667 ",-5.44%,"$5,452 ",($14.05),"$11,923 ",8.65%,2.45%,2720
60,Statoil ASA,Petroleum & Coal Products,Norway,www.statoil.com,60,44,"Eldar Saetre, President;Chief Executive Officer","Hans Jakob Hegge, Executive Vice President;Chief Financial Officer",-271.76%,,"$15,352 ","$28,139 ",29955.1,-9.84769,"$54,781 ","$109,688 ",-22.47%,"($4,254)",($271.76),"$40,257 ",-7.77%,0.74%,2496.26
61,Roche Holding Ltd.,Pharmaceuticals,Switzerland,www.roche.com,61,80,"Dr. Christoph Franz, Chairman","Dr. Fritz Gerber, Honorary Chairman",-4.90%,,"$23,933 ","$28,377 ",17218.8,45.2517,"$50,753 ","$76,289 ",1.08%,"$8,924 ",($4.90),"$21,124 ",17.58%,0.82%,7701.12
62,RWE AG,Petroleum & Coal Products,Germany,www.rwe.com,62,64,"Peter Terium, Chief Executive Officer;Chairman","Dr. Rolf Martin Schmitz, Deputy Chairman;Chief Operating Officer",-110.11%,NA,"$27,366 ","$30,368 ",18209.4,-1.68434,"$50,492 ","$86,411 ",0.45%,($185),($110.11),"$7,403 ",-0.37%,2.46%,2133.76
63,Bayer AG,Chemicals,Germany,www.bayer.com,63,76,"Dr. Marijn E. Dekkers, Chairman;Member","Dr. Kemal Malik, Board Member",20.05%,,"$18,494 ","$25,946 ",,20.4417,"$50,456 ","$80,511 ",9.67%,"$4,476 ",$20.05 ,"$26,429 ",8.87%,NA,9312.75
64,Novartis AG,Pharmaceuticals,Switzerland,www.novartis.com,64,72,"Mr. Joseph Jimenez, Chief Executive Officer",Steven Baert,76.51%,,"$23,708 ","$22,845 ",16327,25.1293,"$50,387 ","$131,556 ",-6.05%,"$17,783 ",$76.51 ,"$77,046 ",35.29%,0.21%,6226
65,Renault SA,Motor Vehicles,France,www.groupe.renault.com,66,82,"Carlos Ghosn, Chief Executive Officer","Marie-Francoise Damesin, Executive Vice President",49.35%,,"$56,953 ","$57,747 ",6216.13,11.5337,"$49,370 ","$98,688 ",10.41%,"$3,074 ",$49.35 ,"$30,489 ",6.23%,0.20%,4496.26
66,Cisco Systems Inc.,Computers & Other Electronic Products,United States,www.cisco.com,67,90,"Mr. John T. Chambers, Executive Chairman","Mr. Charles (Chuck) H. Robbins, Chief Executive Officer",17.45%,,"$23,623 ","$76,283 ",21457,15.8524,"$49,161 ","$113,481 ",4.28%,"$8,981 ",$17.45 ,"$59,698 ",18.27%,0.36%,1627
67,POSCO,Primary Metals,Korea,www.posco.co.kr,65,63,"Joon-Yang Chung, Chairman;Chief Executive Officer","Jong-Tae Choi, Ph.D., President",-75.17%,,"$17,110 ","$24,802 ",10921.1,0.434379,"$49,460 ","$68,343 ",-10.61%,$153 ,($75.17),"$35,047 ",0.31%,0.31%,6990.98
68,Toshiba Corp.,Computers & Other Electronic Products,Japan,www.toshiba.co.jp,68,70,"Satoshi Tsunakawa, President","Shigenori Shiga, Chairman",NM,,"$25,519 ","$28,730 ",6905.65,-42.4368,"$49,039 ","$45,135 ",-13.26%,"($3,821)",NM,"$2,731 ",-7.79%,2.53%,6056.86
69,Pfizer Inc.,Pharmaceuticals,United States,www.pfizer.com,69,83,"Mr. Ian C. Read, MBA, Chairman","Mr. Frank A. D'Amelio, Executive Vice President;Chief Financial Officer",-21.83%,,"$29,399 ","$43,804 ",28818,9.76143,"$48,851 ","$167,460 ",-1.52%,"$6,960 ",($21.83),"$64,720 ",14.25%,0.45%,7513
70,LG Electronics Inc.,Computers & Other Electronic Products,Korea,www.lge.com,71,73,"Bon-Joon Koo, MBA, Vice-Chairman;Chief Executive Officer","Mr. Yu-Sig Kang, Vice-Chairman",-69.00%,,"$12,561 ","$13,937 ",5525.6,1.06143,"$48,029 ","$30,864 ",-4.29%,$105 ,($69.00),"$9,881 ",0.22%,0.56%,4141.51
71,Caterpillar Inc.,Machinery,United States,www.caterpillar.com,72,71,"Mr. Douglas R. Oberhelman, Chairman","Mr. Bradley M. Halverson, Group President",-40.48%,,"$26,303 ","$34,418 ",25247,12.5523,"$47,011 ","$78,497 ",-14.81%,"$2,102 ",($40.48),"$14,809 ",4.47%,1.70%,9700
72,Dow Chemical Co.,Chemicals,United States,www.dow.com,70,66,"Mr. Andrew N. Liveris, Chairman","Mr. James R. Fitterling, President",114.29%,,"$11,215 ","$24,475 ",16215,34.2728,"$48,778 ","$68,026 ",-16.14%,"$7,685 ",$114.29 ,"$25,374 ",15.76%,0.64%,6871
73,BHP Billiton Ltd.,Primary Metals,Australia,www.bhpbilliton.com,77,55,"Andrew Mackenzie, Chief Executive Officer","Peter Beaven, Chief Financial Officer",-86.18%,NA,"$12,853 ","$16,369 ",27969,2.41335,"$44,636 ","$124,580 ",-33.58%,"$1,910 ",($86.18),"$64,768 ",4.28%,0.43%,4292
74,Lockheed Martin Corp.,Aerospace & Defense,United States,www.lockheedmartin.com,74,95,"Mr. Robert J. Stevens, Executive Chairman","Ms. Marillyn A. Hewson, President;Chief Executive Officer",2.23%,,"$14,057 ","$16,198 ",14305,106.029,"$46,132 ","$49,128 ",1.17%,"$3,605 ",$2.23 ,"$3,097 ",7.81%,4.62%,4962
75,Wesfarmers Ltd.,Chemicals,Australia,www.wesfarmers.com.au,75,84,"Richard J. B. Goyder, AO, Managing Director;Chief Executive Officer","Terry J. Bowen, Director",-7.90%,NA,"$7,112 ","$6,649 ",3374.66,9.38931,"$45,663 ","$29,543 ",3.77%,"$1,784 ",($7.90),"$18,120 ",3.91%,0.19%,4019.62
76,Lenovo Group Ltd.,Computers & Other Electronic Products,Hong Kong Special Administrative Region of China,www.lenovo.com,76,92,"Mr. Yuanqing Yang, Chief Executive Officer","Mr. Rory P. Read, President;Chief Operating Officer",-84.92%,,"$15,760 ","$12,966 ",2505.11,-3.31063,"$44,912 ","$24,933 ",-2.99%,($128),($84.92),"$2,787 ",-0.29%,0.90%,2637.32
77,ThyssenKrupp AG,Primary Metals,Germany,www.thyssenkrupp.com,73,79,"Dr. Heinrich Hiesinger, Chairman;Chief Executive Officer","Mr. Oliver Burkhard, Chief Human Resources Officer;Member",44.74%,,"$18,563 ","$21,211 ",6954.61,10.3656,"$46,594 ","$38,878 ",3.57%,$336 ,$44.74 ,"$3,465 ",0.72%,2.01%,7564.57
78,Anheuser-Busch Inbev SA,Beverages,Belgium,www.ab-inbev.com,80,87,"Carlos Alves Brito, Chief Executive Officer","Mr. David Almeida, Chief Integration Officer",-10.47%,,"$28,456 ","$18,294 ",43541,16.5553,"$43,604 ","$134,635 ",-7.35%,"$8,273 ",($10.47),"$42,137 ",18.97%,1.03%,2862
79,Coca-Cola Co.,Beverages,United States,www.coca-colacompany.com,78,93,"Mr. Ahmet Muhtar Kent, Chairman","Mr. James Quincey, President;Chief Operating Officer",4.38%,,"$26,930 ","$33,395 ",28407,24.2447,"$44,294 ","$90,093 ",-3.70%,"$7,351 ",$4.38 ,"$25,554 ",16.60%,1.11%,2902
80,Bunge Ltd.,Food,United States,www.bunge.com,81,68,"Mr. Soren Schroder, Chief Executive Officer","Mr. D. Benedict Pearcy, Chief Development Officer;Division Officer",59.94%,,"$7,340 ","$10,916 ",2934,9.36538,"$43,455 ","$17,922 ",-23.98%,$791 ,$59.94 ,"$6,441 ",1.82%,0.46%,4466
