userid	genesymbol	genename	entrezgene
MFAP4	MFAP4	microfibrillar associated protein 4	4239
MMP13	MMP13	matrix metallopeptidase 13	4322
MMP16	MMP16	matrix metallopeptidase 16	4325
MN1	MN1	MN1 proto-oncogene, transcriptional regulator	4330
OMD	OMD	osteomodulin	4958
OGN	OGN	osteoglycin	4969
NTM	NTM	neurotrimin	50863
SHANK1	SHANK1	SH3 and multiple ankyrin repeat domains 1	50944
MAGEL2	MAGEL2	MAGE family member L2	54551
MXRA8	MXRA8	matrix remodeling associated 8	54587
PPEF1	PPEF1	protein phosphatase with EF-hand domain 1	5475
ASPN	ASPN	asporin	54829
ENOX1	ENOX1	ecto-NOX disulfide-thiol exchanger 1	55068
KIF26B	KIF26B	kinesin family member 26B	55083
PRKG1	PRKG1	protein kinase, cGMP-dependent, type I	5592
MEIS3	MEIS3	Meis homeobox 3	56917
SALL4	SALL4	spalt like transcription factor 4	57167
JPH3	JPH3	junctophilin 3	57338
SORCS2	SORCS2	sortilin related VPS10 domain containing receptor 2	57537
LRRC4C	LRRC4C	leucine rich repeat containing 4C	57689
IGDCC4	IGDCC4	immunoglobulin superfamily DCC subclass member 4	57722
PTPRD	PTPRD	protein tyrosine phosphatase, receptor type D	5789
NKX3-2	NKX3-2	NK3 homeobox 2	579
PTPRN	PTPRN	protein tyrosine phosphatase, receptor type N	5798
SCN2B	SCN2B	sodium voltage-gated channel beta subunit 2	6327
SFRP2	SFRP2	secreted frizzled related protein 2	6423
SFRP4	SFRP4	secreted frizzled related protein 4	6424
GREM2	GREM2	gremlin 2, DAN family BMP antagonist	64388
SGCD	SGCD	sarcoglycan delta	6444
SOX11	SOX11	SRY-box 11	6664
SPOCK1	SPOCK1	SPARC/osteonectin, cwcv and kazal like domains proteoglycan 1	6695
THBS2	THBS2	thrombospondin 2	7058
TLL1	TLL1	tolloid like 1	7092
INS-IGF2	INS-IGF2	INS-IGF2 readthrough	723961
FAM155A	FAM155A	family with sequence similarity 155 member A	728215
TWIST1	TWIST1	twist family bHLH transcription factor 1	7291
WNT2	WNT2	Wnt family member 2	7472
CACNA1C	CACNA1C	calcium voltage-gated channel subunit alpha1 C	775
CALB2	CALB2	calbindin 2	794
ZFHX4	ZFHX4	zinc finger homeobox 4	79776
PODNL1	PODNL1	podocan like 1	79883
BICC1	BICC1	BicC family RNA binding protein 1	80114
ADAM12	ADAM12	ADAM metallopeptidase domain 12	8038
MFAP5	MFAP5	microfibrillar associated protein 5	8076
ST8SIA2	ST8SIA2	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2	8128
ADAMTS12	ADAMTS12	ADAM metallopeptidase with thrombospondin type 1 motif 12	81792
NETO1	NETO1	neuropilin and tolloid like 1	81832
GLT8D2	GLT8D2	glycosyltransferase 8 domain containing 2	83468
HMCN1	HMCN1	hemicentin 1	83872
ST6GAL2	ST6GAL2	ST6 beta-galactoside alpha-2,6-sialyltransferase 2	84620
FNDC1	FNDC1	fibronectin type III domain containing 1	84624
ZNF469	ZNF469	zinc finger protein 469	84627
KIAA1644	KIAA1644	KIAA1644	85352
NKD2	NKD2	naked cuticle homolog 2	85409
RUNX1T1	RUNX1T1	RUNX1 translocation partner 1	862
WISP1	WISP1	WNT1 inducible signaling pathway protein 1	8840
CACNA1G	CACNA1G	calcium voltage-gated channel subunit alpha1 G	8913
NAV3	NAV3	neuron navigator 3	89795
TBX18	TBX18	T-box 18	9096
PLXNA4	PLXNA4	plexin A4	91584
SPSB4	SPSB4	splA/ryanodine receptor domain and SOCS box containing 4	92369
NOG	NOG	noggin	9241
SLIT2	SLIT2	slit guidance ligand 2	9353
ITGBL1	ITGBL1	integrin subunit beta like 1	9358
ADAMTS2	ADAMTS2	ADAM metallopeptidase with thrombospondin type 1 motif 2	9509
